UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C1518164:T191:DISO	Male Urethral Malignant Neoplasm
UMLS:C1518146:T049:DISO	MYC Pathway Deregulation
UMLS:C1518144:T049:DISO	MYB Gene Amplification
UMLS:C1518142:T049:DISO	MSX1 Gene Mutation
UMLS:C1518141:T049:DISO	MSN-ALK Fusion Protein Expression
UMLS:C1518132:T049:DISO	KMT2A-ENL Fusion Protein Expression
UMLS:C1518131:T049:DISO	KMT2A-ELL Fusion Protein Expression
UMLS:C1518130:T049:DISO	KMT2A-EEN Fusion Protein Expression
UMLS:C1518129:T049:DISO	MLLT3-KMT2A Fusion Protein Expression
UMLS:C1518128:T049:DISO	KMT2A-AF4 Fusion Protein Expression
UMLS:C1518127:T049:DISO	KMT2A-AF10 Fusion Protein Expression
UMLS:C1518126:T049:DISO	MAP2K4 Gene Inactivation
UMLS:C1518121:T049:DISO	MET Gene Mutation
UMLS:C1518120:T049:DISO	MEN1 Gene Inactivation
UMLS:C1518117:T049:DISO	MDM2 Gene Mutation
UMLS:C1518116:T049:DISO	MDM2 Gene Amplification
UMLS:C1518088:T191:DISO	Lymphoproliferative Neoplasms of the Mouse Salivary Glands
UMLS:C1518087:T191:DISO	Lymphoproliferative Neoplasms of the Mouse Pharynx
UMLS:C1518086:T191:DISO	Lymphoproliferative Neoplasms of the Mouse Oral Cavity
UMLS:C1518085:T191:DISO	Lymphoproliferative Neoplasms of the Mouse Nose and Paranasal Sinuses
UMLS:C1518084:T191:DISO	Lymphomas and Haemopoietic Neoplasms of the Mouse Nervous System
UMLS:C1518083:T191:DISO	Lymphoma of the Mouse Salivary Glands
UMLS:C1518082:T191:DISO	Lymphoma of the Mouse Pharynx
UMLS:C1518081:T191:DISO	Lymphoma of the Mouse Oral Cavity
UMLS:C1518080:T191:DISO	Lymphoma of the Mouse Nose and Paranasal Sinuses
UMLS:C1518079:T191:DISO	Lymphoma of the Mouse Intestinal Tract
UMLS:C1518078:T191:DISO	Lymphoma by Working Formulation (Antiquated)
UMLS:C1518077:T191:DISO	Lymphoma by Lukes-Collins Classification (Antiquated)
UMLS:C1518076:T191:DISO	Lymphoma/Leukemia by Kiel Classification (Antiquated)
UMLS:C1518074:T191:DISO	Lymphoid Neoplasms and Related Disorders of the Mouse Hematologic System
UMLS:C1518073:T047:DISO	lymphoid hyperplasia of the mouse intestinal tract
UMLS:C1518064:T191:DISO	Lymphocyte Predominant Type Hodgkin Disease
UMLS:C1518038:T191:DISO	Lung Inflammatory Myofibroblastic Tumor
UMLS:C1518027:T191:DISO	Low Grade Sessile Villous Dysplasia of the Mouse Intestinal Tract
UMLS:C1518026:T191:DISO	Low Grade Sessile Tubulovillous Dysplasia of the Mouse Intestinal Tract
UMLS:C1518025:T191:DISO	Low Grade Sessile Tubular Dysplasia of the Mouse Intestinal Tract
UMLS:C1518024:T191:DISO	Low Grade Pedunculated Tubulovillous Dysplasia of the Mouse Intestinal Tract
UMLS:C1518023:T191:DISO	Low Grade Pedunculated Tubular Dysplasia of the Mouse Intestinal Tract
UMLS:C1518022:T191:DISO	Ovarian Low Grade Endometrioid Stromal Sarcoma
UMLS:C1518021:T191:DISO	Low Grade Mucoepidermoid Tumor of the Mouse Salivary Glands
UMLS:C1518020:T191:DISO	Low Grade Mouse MIN
UMLS:C1518018:T191:DISO	Low Grade Flat Villous Dysplasia of the Mouse Intestinal Tract
UMLS:C1518017:T191:DISO	Low Grade Flat Tubulovillous Dysplasia of the Mouse Intestinal Tract
UMLS:C1518016:T191:DISO	Low Grade Flat Tubular Dysplasia of the Mouse Intestinal Tract
UMLS:C1518013:T191:DISO	Low Grade Adenosquamous Breast Carcinoma
UMLS:C1518006:T191:DISO	Non-Invasive Bladder Papillary Urothelial Carcinoma, Low Grade
UMLS:C1518005:T191:DISO	Low Grade Cervical Squamous Intraepithelial Neoplasia
UMLS:C1518004:T191:DISO	Low Grade B-Cell Non-Hodgkin Lymphoma
UMLS:C1518003:T049:DISO	Low-Frequency Microsatellite Instability
UMLS:C1517999:T049:DISO	Loss of Merlin Expression
UMLS:C1517998:T049:DISO	Loss of E-cadherin Expression
UMLS:C1517997:T049:DISO	Loss of Chromosome Y
UMLS:C1517996:T049:DISO	Loss of Chromosome X
UMLS:C1517995:T049:DISO	Loss of Chromosome 9q
UMLS:C1517994:T049:DISO	Loss of Chromosome 9p
UMLS:C1517993:T049:DISO	Loss of Chromosome 9
UMLS:C1517992:T049:DISO	Loss of Chromosome 8p
UMLS:C1517991:T049:DISO	Loss of Chromosome 8
UMLS:C1517990:T049:DISO	Loss of Chromosome 7q
UMLS:C1517989:T049:DISO	Loss of Chromosome 7
UMLS:C1517988:T049:DISO	Loss of Chromosome 6q
UMLS:C1517987:T049:DISO	Loss of Chromosome 6p
UMLS:C1517986:T049:DISO	Loss of Chromosome 6
UMLS:C1517985:T049:DISO	Loss of Chromosome 5
UMLS:C1517984:T049:DISO	Loss of Chromosome 4q
UMLS:C1517983:T049:DISO	Loss of Chromosome 4
UMLS:C1517982:T049:DISO	Loss of Chromosome 3p FHIT Gene Locus
UMLS:C1517981:T049:DISO	Loss of Chromosome 3p
UMLS:C1517980:T049:DISO	Loss of Chromosome 3
UMLS:C1517979:T049:DISO	Loss of Chromosome 2q
UMLS:C1517978:T049:DISO	Loss of Chromosome 2p
UMLS:C1517977:T049:DISO	Loss of Chromosome 22q
UMLS:C1517976:T049:DISO	Loss of Chromosome 22
UMLS:C1517975:T049:DISO	Loss of Chromosome 21
UMLS:C1517974:T049:DISO	Loss of Chromosome 20q
UMLS:C1517973:T049:DISO	Loss of Chromosome 2
UMLS:C1517972:T049:DISO	Loss of Chromosome 1p
UMLS:C1517971:T049:DISO	Loss of Chromosome 19q
UMLS:C1517970:T049:DISO	Loss of Chromosome 19
UMLS:C1517969:T049:DISO	Loss of Chromosome 18q
UMLS:C1517968:T049:DISO	Loss of Chromosome 18p
UMLS:C1517967:T049:DISO	Loss of Chromosome 18
UMLS:C1517966:T049:DISO	Loss of Chromosome 17q
UMLS:C1517965:T049:DISO	Loss of Chromosome 17p
UMLS:C1517964:T049:DISO	Loss of Chromosome 17
UMLS:C1517963:T049:DISO	Loss of Chromosome 16q
UMLS:C1517962:T049:DISO	Loss of Chromosome 16p
UMLS:C1517961:T049:DISO	Loss of Chromosome 16
UMLS:C1517960:T049:DISO	Loss of Chromosome 14q
UMLS:C1517959:T049:DISO	Loss of Chromosome 14
UMLS:C1517957:T049:DISO	Loss of Chromosome 13
UMLS:C1517956:T049:DISO	Loss of Chromosome 12q
UMLS:C1517955:T049:DISO	Loss of Chromosome 12p
UMLS:C1517954:T049:DISO	Loss of Chromosome 12
UMLS:C1517953:T049:DISO	Loss of Chromosome 11q ATM Gene Locus
UMLS:C1517952:T049:DISO	Loss of Chromosome 11q
UMLS:C1517950:T049:DISO	Loss of Chromosome 11
UMLS:C1517949:T049:DISO	Loss of Chromosome 10q
UMLS:C1517948:T049:DISO	Loss of Chromosome 10p
UMLS:C1517947:T049:DISO	Loss of Chromosome 10
UMLS:C1517946:T049:DISO	Loss of Chromosome 1
UMLS:C1517921:T047:DISO	lobuloacinar hypoplasia of the mouse mammary gland
UMLS:C1517920:T191:DISO	LobuloAlveolar Mouse MIN
UMLS:C1517905:T191:DISO	Liposarcoma of the Mouse Skin
UMLS:C1517904:T191:DISO	Liposarcoma of the Mouse Intestinal Tract
UMLS:C1517901:T191:DISO	Lipoma of the Mouse Nervous System
UMLS:C1517900:T191:DISO	Lipoma of the Mouse Intestinal Tract
UMLS:C1517894:T191:DISO	Lipid-Rich Breast Carcinoma
UMLS:C1517842:T047:DISO	leuteoma of pregnancy
UMLS:C1517805:T191:DISO	Leukemia (Antiquated)
UMLS:C1517766:T191:DISO	Leiomyosarcoma of the Mouse Skin
UMLS:C1517765:T191:DISO	Leiomyosarcoma of the Mouse Prostate Gland
UMLS:C1517764:T191:DISO	Leiomyosarcoma of the Mouse Oral Cavity
UMLS:C1517763:T191:DISO	Leiomyosarcoma of the Mouse Nose and Paranasal Sinuses
UMLS:C1517762:T191:DISO	Leiomyosarcoma of the Mouse Nervous System
UMLS:C1517761:T191:DISO	Leiomyosarcoma of the Mouse Intestinal Tract
UMLS:C1517760:T191:DISO	Leiomyoma of the Mouse Oral Cavity
UMLS:C1517759:T191:DISO	Leiomyoma of the Mouse Nervous System
UMLS:C1517744:T047:DISO	late yaws
UMLS:C1517695:T049:DISO	LMO2 Messenger RNA Overexpression
UMLS:C1517694:T049:DISO	LKB1 Gene Inactivation
UMLS:C1517684:T049:DISO	MYCL Gene Amplification
UMLS:C1517679:T191:DISO	Kupffer Cell Sarcoma of the Mouse Blood Vessel
UMLS:C1517658:T191:DISO	Cervical Keratinizing Squamous Cell Carcinoma
UMLS:C1517653:T191:DISO	Kaposi Sarcoma of the Mouse Nervous System
UMLS:C1517652:T191:DISO	Kaposi Sarcoma of the Mouse Blood Vessel
UMLS:C1517648:T049:DISO	KRAS Gene Amplification
UMLS:C1517629:T191:DISO	Juxtacortical Chondrosarcoma of the Mouse Skeletal System
UMLS:C1517628:T191:DISO	Juxtacortical Chondroma of the Mouse Skeletal System
UMLS:C1517627:T191:DISO	Juvenile Type Bilateral Ovarian Granulosa Cell Tumor
UMLS:C1517625:T047:DISO	junctional melanocytic hyperplasia of mouse
UMLS:C1517617:T049:DISO	JUN Pathway Deregulation
UMLS:C1517616:T049:DISO	JAZF1-SUZ12 Fusion Protein Expression
UMLS:C1517615:T049:DISO	JAK-STAT Pathway Deregulation
UMLS:C1517604:T049:DISO	Isodicentric Chromosome
UMLS:C1517580:T191:DISO	Invasive Small Cell Carcinoma of the Mouse Prostate Gland
UMLS:C1517579:T191:DISO	Infiltrating Bladder Urothelial Carcinoma, Micropapillary Variant
UMLS:C1517578:T191:DISO	Invasive Neuroendocrine Carcinoma of the Mouse Prostate Gland
UMLS:C1517577:T191:DISO	Invasive Mixed Breast Carcinoma
UMLS:C1517576:T191:DISO	Invasive Carcinoma of the Mouse Prostate Gland
UMLS:C1517575:T191:DISO	Invasive Adenocarcinoma of the Mouse Prostate Gland
UMLS:C1517568:T046:DISO	Transmission, Intravenous Drug Abuser
UMLS:C1517567:T191:DISO	Intravascular Metastasis
UMLS:C1517555:T191:DISO	Gliomatosis Cerebri Type I
UMLS:C1517550:T191:DISO	Glandular Mammary Carcinoma of Mouse
UMLS:C1517549:T047:DISO	glandular cystic dilation of the mouse intestinal tract
UMLS:C1517546:T049:DISO	Giant Rod Chromosome
UMLS:C1517542:T191:DISO	Giant Cell Tumor of Bone of the Mouse Skeletal System, NOS
UMLS:C1517541:T191:DISO	Giant Cell Tumor of Bone of the Mouse Skeletal System, Malignant
UMLS:C1517538:T191:DISO	Gestational Ovarian Choriocarcinoma
UMLS:C1517535:T191:DISO	Germinoma of the Mouse Nervous System
UMLS:C1517531:T191:DISO	Germ Cell Tumors of the Mouse Nervous System
UMLS:C1517478:T049:DISO	Gene Abnormality
UMLS:C1517445:T191:DISO	Ganglioneuroblastoma, Nodular
UMLS:C1517444:T191:DISO	Ganglioneuroblastoma, Intermixed
UMLS:C1517430:T049:DISO	Gain of Chromosome Y
UMLS:C1517429:T049:DISO	Gain of Chromosome Xq
UMLS:C1517428:T049:DISO	Gain of Chromosome X
UMLS:C1517427:T049:DISO	Gain of Chromosome 9q34
UMLS:C1517426:T049:DISO	Gain of Chromosome 9q
UMLS:C1517425:T049:DISO	Gain of Chromosome 9p
UMLS:C1517424:T049:DISO	Gain of Chromosome 9
UMLS:C1517423:T049:DISO	Gain of Chromosome 8q
UMLS:C1517422:T049:DISO	Gain of Chromosome 8
UMLS:C1517421:T049:DISO	Gain of Chromosome 7q32
UMLS:C1517420:T049:DISO	Gain of Chromosome 7q
UMLS:C1517419:T049:DISO	Gain of Chromosome 7p13-pter
UMLS:C1517418:T049:DISO	Gain of Chromosome 7p
UMLS:C1517417:T049:DISO	Gain of Chromosome 7
UMLS:C1517416:T049:DISO	Gain of Chromosome 6q
UMLS:C1517415:T049:DISO	Gain of Chromosome 6p
UMLS:C1517414:T049:DISO	Gain of Chromosome 6
UMLS:C1517413:T049:DISO	Gain of Chromosome 5q
UMLS:C1517412:T049:DISO	Gain of Chromosome 5p
UMLS:C1517411:T049:DISO	Gain of Chromosome 5
UMLS:C1517410:T049:DISO	Gain of Chromosome 3q
UMLS:C1517409:T049:DISO	Gain of Chromosome 3
UMLS:C1517408:T049:DISO	Gain of Chromosome 2p
UMLS:C1517407:T049:DISO	Gain of Chromosome 22
UMLS:C1517406:T049:DISO	Gain of Chromosome 21
UMLS:C1517405:T049:DISO	Gain of Chromosome 20q13
UMLS:C1517404:T049:DISO	Gain of Chromosome 20q
UMLS:C1517403:T049:DISO	Gain of Chromosome 20
UMLS:C1517402:T049:DISO	Gain of Chromosome 1q21-31
UMLS:C1517401:T049:DISO	Gain of Chromosome 1q
UMLS:C1517400:T049:DISO	Gain of Chromosome 1p31
UMLS:C1517399:T049:DISO	Gain of Chromosome 19q
UMLS:C1517398:T049:DISO	Gain of Chromosome 19
UMLS:C1517397:T049:DISO	Gain of Chromosome 18q
UMLS:C1517396:T049:DISO	Gain of Chromosome 18
UMLS:C1517395:T049:DISO	Gain of Chromosome 17q22-q24
UMLS:C1517394:T049:DISO	Gain of Chromosome 17q
UMLS:C1517393:T049:DISO	Gain of Chromosome 17p
UMLS:C1517392:T049:DISO	Gain of Chromosome 17
UMLS:C1517391:T049:DISO	Gain of Chromosome 16
UMLS:C1517390:T049:DISO	Gain of Chromosome 15q
UMLS:C1517389:T049:DISO	Gain of Chromosome 15
UMLS:C1517388:T049:DISO	Gain of Chromosome 14
UMLS:C1517387:T049:DISO	Gain of Chromosome 13
UMLS:C1517386:T049:DISO	Gain of Chromosome 12q15-qter
UMLS:C1517385:T049:DISO	Gain of Chromosome 12q13
UMLS:C1517384:T049:DISO	Gain of Chromosome 12q
UMLS:C1517383:T049:DISO	Gain of Chromosome 12p
UMLS:C1517382:T049:DISO	Gain of Chromosome 12
UMLS:C1517381:T049:DISO	Gain of Chromosome 11
UMLS:C1517380:T049:DISO	Gain of Chromosome 10
UMLS:C1517379:T049:DISO	Gain of Chromosome 1
UMLS:C1517332:T049:DISO	Fusion Protein Expression
UMLS:C1517298:T049:DISO	Formation of Bistrand Abasic Site
UMLS:C1517297:T049:DISO	Formation of Apyrimidine Site
UMLS:C1517296:T049:DISO	Formation of Apurinic Site
UMLS:C1517284:T191:DISO	Follicular B Cell Lymphoma of the Mouse Hematologic System
UMLS:C1517280:T047:DISO	focal mucosal hyperplasia of the mouse intestinal tract
UMLS:C1517279:T047:DISO	focal hyperplasias of the mouse prostate gland
UMLS:C1517278:T047:DISO	focal hyperplasias of the mouse mammary gland
UMLS:C1517277:T047:DISO	focal congestion of the mouse intestinal tract
UMLS:C1517276:T047:DISO	focal chronic lymphoplasmacytic enteritis of the mouse intestinal tract
UMLS:C1517275:T047:DISO	focal chronic granulomatous enteritis of the mouse intestinal tract
UMLS:C1517274:T047:DISO	focal chronic enteritis of the mouse intestinal tract
UMLS:C1517273:T047:DISO	focal acute suppurative enteritis of the mouse intestinal tract
UMLS:C1517272:T047:DISO	focal acute eosinophilic enteritis of the mouse intestinal tract
UMLS:C1517271:T047:DISO	focal acute enteritis of the mouse intestinal tract
UMLS:C1517208:T191:DISO	Flat Villous Adenoma of the Mouse Intestinal Tract
UMLS:C1517207:T191:DISO	Flat Tubulovillous Adenoma of the Mouse Intestinal Tract
UMLS:C1517206:T191:DISO	Flat Tubular Adenoma of the Mouse Intestinal Tract
UMLS:C1517182:T046:DISO	Fibrosis NOS of the Mouse Prostate Gland
UMLS:C1517181:T047:DISO	fibrosis nos of the mouse mammary gland
UMLS:C1517180:T191:DISO	Fibrosarcoma of the Mouse Nervous System
UMLS:C1517179:T191:DISO	Fibrosarcoma of the Mouse Intestinal Tract
UMLS:C1517178:T191:DISO	Fibroma of the Mouse Skin
UMLS:C1517177:T191:DISO	Fibroma of the Mouse Intestinal Tract
UMLS:C1517176:T191:DISO	Fibroblastic Osteosarcoma of the Mouse Skeletal System
UMLS:C1517173:T191:DISO	Fibroadenoma of the Mouse Mammary Gland
UMLS:C1517154:T191:DISO	Female Urethral Malignant Neoplasm
UMLS:C1517136:T047:DISO	fas and fas ligand diseases of the mouse hematologic system
UMLS:C1517128:T191:DISO	Fallopian Tube Transitional Cell Carcinoma
UMLS:C1517127:T191:DISO	Fallopian Tube Teratoma
UMLS:C1517126:T191:DISO	Fallopian Tube Soft Tissue Neoplasm
UMLS:C1517125:T191:DISO	Fallopian Tube Serous Neoplasm
UMLS:C1517124:T191:DISO	Fallopian Tube Serous Adenocarcinoma
UMLS:C1517123:T191:DISO	Fallopian Tube Papilloma
UMLS:C1517122:T191:DISO	Fallopian Tube Papillary Serous Adenocarcinoma of Mouse
UMLS:C1517121:T191:DISO	Fallopian Tube Adenosarcoma
UMLS:C1517120:T191:DISO	Fallopian Tube Mucinous Neoplasm
UMLS:C1517119:T191:DISO	Fallopian Tube Mucinous Adenocarcinoma
UMLS:C1517118:T191:DISO	Fallopian Tube Metaplastic Papillary Tumor
UMLS:C1517117:T191:DISO	Fallopian Tube Carcinosarcoma
UMLS:C1517116:T191:DISO	Fallopian Tube Leiomyosarcoma
UMLS:C1517115:T191:DISO	Fallopian Tube Leiomyoma
UMLS:C1517114:T191:DISO	Fallopian Tube Germ Cell Tumor
UMLS:C1517113:T191:DISO	Fallopian Tube Endometrioid Tumor
UMLS:C1517112:T191:DISO	Fallopian Tube Endometrioid Polyp
UMLS:C1517111:T191:DISO	Fallopian Tube Serous Cystadenofibroma
UMLS:C1517110:T191:DISO	Fallopian Tube Adenomatoid Tumor
UMLS:C1517109:T191:DISO	Fallopian Tube Serous Adenofibroma
UMLS:C1517100:T049:DISO	FUS-DDIT3 Fusion Protein Expression
UMLS:C1517099:T049:DISO	FUS-ATF1 Fusion Protein Expression
UMLS:C1517097:T049:DISO	FIP1L1-PDGFRalpha Fusion Protein Expression
UMLS:C1517095:T049:DISO	FHIT Gene Inactivation
UMLS:C1517092:T049:DISO	FGFR2 Gene Amplification
UMLS:C1517091:T049:DISO	FGFR3 Gene Mutation
UMLS:C1517090:T049:DISO	FGFR1 Gene Amplification
UMLS:C1517087:T049:DISO	FASLG Gene Mutation
UMLS:C1517086:T049:DISO	TNFRSF6 Gene Mutation
UMLS:C1517085:T049:DISO	FAS Apoptosis Pathway Deregulation
UMLS:C1517077:T191:DISO	Extraosseus Plasmacytoma of the Mouse Hematologic System
UMLS:C1516986:T047:DISO	evaluable|evaluable disease
UMLS:C1516957:T047:DISO	erosion of the mouse intestinal tract
UMLS:C1516948:T191:DISO	Epithelioid Hemangioma of the Mouse Blood Vessel
UMLS:C1516947:T191:DISO	Epithelioid Hemangioma of the Mouse Blood Vessel, Malignant
UMLS:C1516946:T191:DISO	Epithelioid Haemangioendothelioma of the Mouse Nervous System
UMLS:C1516942:T047:DISO	epithelial proliferative lesions of the mouse pulmonary system
UMLS:C1516939:T191:DISO	Epithelial Neoplasms of the Mouse Salivary Glands
UMLS:C1516938:T191:DISO	Epithelial Neoplasms of the Mouse Pharynx
UMLS:C1516937:T191:DISO	Epithelial Neoplasms of the Mouse Oral Cavity
UMLS:C1516936:T191:DISO	Epithelial Neoplasms of the Mouse Nose and Paranasal Sinuses
UMLS:C1516935:T191:DISO	Epithelial Neoplasms of the Mouse Larynx
UMLS:C1516933:T047:DISO	epithelial diffuse hyperplasia of the mouse prostate gland
UMLS:C1516930:T191:DISO	Epithelial Atypical Hyperplasia of the Mouse Prostate Gland
UMLS:C1516872:T191:DISO	Endovascular Papillary Angioendothelioma of the Mouse Blood Vessel
UMLS:C1516865:T191:DISO	Endometrial Undifferentiated Carcinoma
UMLS:C1516864:T191:DISO	Endometrial Transitional Cell Carcinoma
UMLS:C1516858:T191:DISO	Endometrial Small Cell Carcinoma
UMLS:C1516857:T191:DISO	Serous Endometrial Intraepithelial Carcinoma
UMLS:C1516856:T191:DISO	Endometrial Mixed Adenocarcinoma
UMLS:C1516855:T046:DISO	Endometrial Hyperplasia without Atypia
UMLS:C1516823:T049:DISO	Embryonic Lethal Mutation
UMLS:C1516813:T191:DISO	Embryonal Rhabdomyosarcoma of the Mouse Pharynx
UMLS:C1516812:T191:DISO	Embryonal Rhabdomyosarcoma of the Mouse Nose and Paranasal Sinuses
UMLS:C1516811:T191:DISO	Embryonal Carcinoma of the Mouse Nervous System
UMLS:C1516787:T047:DISO	congestion of the mouse intestinal tract
UMLS:C1516763:T047:DISO	compound melanocytic hyperplasia of mouse|compound melanocytic hyperplasia
UMLS:C1516761:T191:DISO	Composite Ganglioneuroblastoma, Stroma-Dominant and Stroma-Poor
UMLS:C1516760:T191:DISO	Composite Ganglioneuroblastoma, Schwannian Stroma-Rich and Stroma-Poor
UMLS:C1516716:T047:DISO	combined epithelial / stromal focal hyperplasia of the mouse prostate gland
UMLS:C1516715:T047:DISO	combined epithelial / stromal diffuse hyperplasia of the mouse prostate gland
UMLS:C1516714:T191:DISO	Combined Epithelial / Stromal Atypical Hyperplasia of the Mouse Prostate Gland
UMLS:C1516707:T191:DISO	Colorectal Cancer by Astler-Coller Stage
UMLS:C1516700:T191:DISO	Colon Cancer by Astler-Coller Stage
UMLS:C1516680:T049:DISO	Clonal T-Cell Receptor Gene Rearrangement
UMLS:C1516679:T049:DISO	Clonal T-Cell Receptor Gamma Chain Gene Rearrangement
UMLS:C1516678:T049:DISO	Clonal T-Cell Receptor Beta Chain Gene Rearrangement
UMLS:C1516676:T049:DISO	Clonal Immunoglobulin Light Chain Gene Rearrangement
UMLS:C1516675:T049:DISO	Clonal Immunoglobulin Lambda Light Chain Gene Rearrangement
UMLS:C1516674:T049:DISO	Clonal Immunoglobulin Kappa Light Chain Gene Rearrangement
UMLS:C1516673:T049:DISO	Clonal Immunoglobulin Heavy Chain Gene Rearrangement
UMLS:C1516672:T049:DISO	Clonal Immunoglobulin Gene Rearrangement
UMLS:C1516670:T046:DISO	Clonal Expansion
UMLS:C1516669:T191:DISO	Clonal Evolution
UMLS:C1516666:T049:DISO	Clonal BCL6 Gene Rearrangement
UMLS:C1516665:T049:DISO	Clonal BCL3 Gene Rearrangement
UMLS:C1516664:T049:DISO	Clonal BCL2 Gene Rearrangement
UMLS:C1516663:T049:DISO	Clonal Antigen Receptor Gene Rearrangement
UMLS:C1516600:T191:DISO	Clear Cell Chondrosarcoma of the Mouse Skeletal System
UMLS:C1516599:T191:DISO	Skin Clear Cell Basal Cell Carcinoma
UMLS:C1516598:T191:DISO	Clear Cell Adenoma of the Mouse Salivary Glands
UMLS:C1516592:T191:DISO	Classic Burkitt Lymphoma of the Mouse Hematologic System
UMLS:C1516554:T047:DISO	chronic ulcerative enteritis of the mouse intestinal tract
UMLS:C1516553:T191:DISO	Primary Myelofibrosis, Prefibrotic/Early Stage
UMLS:C1516552:T191:DISO	Primary Myelofibrosis, Overt Fibrotic Stage
UMLS:C1516551:T047:DISO	chronic enteritis of the mouse intestinal tract
UMLS:C1516549:T047:DISO	chronic active prostatitis of mouse
UMLS:C1516519:T049:DISO	Chromosomal Loss
UMLS:C1516518:T049:DISO	Chromosomal Insertion
UMLS:C1516517:T049:DISO	Chromosomal Gain
UMLS:C1516516:T049:DISO	Duplication of chromosome
UMLS:C1516504:T191:DISO	Chondrosarcoma of the Mouse Skeletal System, NOS
UMLS:C1516503:T191:DISO	Chondrosarcoma of the Mouse Larynx
UMLS:C1516502:T191:DISO	Chondromyxoid Fibroma of the Mouse Skeletal System
UMLS:C1516501:T191:DISO	Chondromatosis of the Mouse Skeletal System, NOS
UMLS:C1516500:T191:DISO	Chondroma of the Mouse Skeletal System, NOS
UMLS:C1516499:T191:DISO	Chondroma of the Mouse Nervous System
UMLS:C1516495:T191:DISO	Chondroblastoma of the Mouse Skeletal System, NOS
UMLS:C1516494:T191:DISO	Chondroblastoma of the Mouse Skeletal System, Malignant
UMLS:C1516493:T191:DISO	Chondroblastic Osteosarcoma of the Mouse Skeletal System
UMLS:C1516490:T191:DISO	Cholangiolocellular Carcinoma
UMLS:C1516475:T191:DISO	Classic Congenital Mesoblastic Nephroma
UMLS:C1516474:T191:DISO	Cellular Congenital Mesoblastic Nephroma
UMLS:C1516437:T191:DISO	Cervical Wilms Tumor
UMLS:C1516436:T191:DISO	Cervical Warty Carcinoma
UMLS:C1516435:T191:DISO	Cervical Verrucous Carcinoma
UMLS:C1516434:T191:DISO	Cervical Squamous Neoplasm
UMLS:C1516433:T191:DISO	Cervical Squamotransitional Carcinoma
UMLS:C1516432:T191:DISO	Cervical Soft Tissue Neoplasm
UMLS:C1516431:T191:DISO	Cervical Serous Adenocarcinoma
UMLS:C1516430:T191:DISO	Cervical Rhabdomyoma
UMLS:C1516429:T191:DISO	Cervical Papillary Squamous Cell Carcinoma
UMLS:C1516427:T191:DISO	Cervical Mullerian Papilloma
UMLS:C1516426:T191:DISO	Cervical Adenosarcoma
UMLS:C1516424:T191:DISO	Cervical Mucinous Adenocarcinoma, Signet Ring Cell Type
UMLS:C1516423:T191:DISO	Cervical Mucinous Adenocarcinoma, Minimal Deviation Type
UMLS:C1516422:T191:DISO	Cervical Mucinous Adenocarcinoma, Intestinal-Type
